"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cj6er83ene6o","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/924a/live/36ff1650-7cfa-11ef-9a6b-17859ba822e9.jpg.webp","Hollywood's big boom has gone bust","Productions are down by about 40% and entertainment industry employees say they can't find work.","US & Canada"
"https://www.bbc.com/news/articles/c3rdgxp4ld0o","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/adeb/live/63e33aa0-6f69-11ef-bb19-a14a36c9c495.jpg.webp","Keir Starmer warns unions of tough decisions over pay","In a speech to the TUC, the PM says the government will ""not risk its mandate for economic stability"".","Politics"
"https://www.bbc.com/news/articles/czjyj2rd1zpo","20 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3c6a/live/d84c53b0-7665-11ef-8c1a-df523ba43a9a.jpg.webp","China spent millions on this new trade route - then a war got in the way","The BBC visits the border with Myanmar, where a war is raging on China’s doorstep.","Asia"
"https://www.bbc.com/news/articles/c7v5mng4z45o","24 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/525f/live/f1ac4150-2a46-11ef-9749-cd6cde939cc7.jpg.webp","Can families returning after centuries solve S Korea's population crisis?","Ethnic Koreans, whose ancestors migrated to Russia, are returning, but the move can be difficult.","World"
"https://www.bbc.com/news/articles/c869qx34vy5o","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7aa8/live/18285170-75c4-11ef-9807-a359a89ccb51.jpg.webp","Dublin house prices surpass Celtic Tiger peak","Official figures suggest that Dublin prices are now 0.6% higher than their February 2007 peak.",""
"https://www.bbc.com/news/articles/cq8xqj8kl77o","20 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/69af/live/d8edbd90-7746-11ef-8323-e929926b6cbd.jpg.webp","Businessman extradited from UK to South Africa on corruption charges","Michael Lomas is accused of manipulating massive contracts for work on a power station in South Africa.","Africa"
"https://www.bbc.com/news/articles/c3wp1p32endo","22 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/309f/live/aecd7390-78f7-11ef-8c1a-df523ba43a9a.jpg.webp","Sri Lanka's new president: Political outsider makes remarkable turnaround","The newly-elected president signals a pivot away from the unpopular old political order.","Asia"
"https://www.bbc.com/news/articles/c7819kmz98vo","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9584/live/380ec9c0-79a6-11ef-a6e4-cd6b866d742c.jpg.webp","Nurses in England say 5.5% pay rise not enough","Nurses are determined to “stand up for themselves”, the head of the Royal College of Nursing says.","Health"
"https://www.bbc.com/news/articles/c703pyzpx7go","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d235/live/c2018f60-6f00-11ef-b282-4535eb84fe4b.jpg.webp","Kate's cancer recovery and winter fuel 'rebel MPs'","Many front pages lead on the release of a video by the Princess of Wales in which she revealed she has completed her course of chemotherapy.","The Papers"
"https://www.bbc.com/news/articles/c8xe4wdg79ko","24 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c9c7/live/cbd3d9a0-79a8-11ef-a6e4-cd6b866d742c.jpg.webp","Are targets putting Oxfordshire's green belt at risk?","How achievable are the new government’s housebuilding targets and what will the cost be?","Oxford"
"https://www.bbc.com/news/articles/cm23lpnvypzo","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/614e/live/f4921350-703b-11ef-8c1a-df523ba43a9a.png.webp","Outlook for London boroughs' finances 'is bleak'","More councils in London will face effective bankruptcy unless the government boosts budgets, according to London Councils.","London"
"https://www.bbc.com/news/articles/cvgd735l743o","6 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/ffc0/live/1425a8e0-7bee-11ef-9182-1b5af547a629.jpg.webp","Labour genuinely interested in Guernsey - deputy","The delegation met with Angela Rayner and Rachel Reeves among other MPs to discuss Guernsey.","Guernsey"
"https://www.bbc.com/news/articles/cewlwkg82ggo","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/384e/live/771f8750-70f8-11ef-b02d-c5f3b724a1ea.jpg.webp","National debt forecast to treble over next 50 years","An ageing population, climate change and geopolitical tensions all add pressure to the public finances, a report says.","Business"
"https://www.bbc.com/news/articles/cj4dddyn2lro","16 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8b67/live/cbf7e300-742f-11ef-9004-f370a3980358.jpg.webp","Mountain bikers in plea to save visitor centres","Coed y Brenin, in Gwynedd, plus Bwlch Nant yr Arian and Ynyslas, in Ceredigion, could be closed.","Wales"
"https://www.bbc.com/news/articles/ckg9nwxy388o","20 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/222d/live/09490390-7725-11ef-8a58-3de0b1251a4e.jpg.webp","Schoolboy's killing in China sparks Japanese fears","Stabbing of 10-year-old schoolboy in Shenzhen is the second attack on Japanese nationals this year.","Asia"
"https://www.bbc.com/news/articles/cn474nk114ko","13 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/eea8/live/e07a4990-71b3-11ef-b02d-c5f3b724a1ea.jpg.webp","Venezuela furious at Spain 'dictatorship' comment","Spain's ambassador has been summoned by Venezuela after a minister called the country a ""dictatorship"".","World"
"https://www.bbc.com/news/articles/cr752k2p9y1o","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9995/live/30f71de0-79ce-11ef-9ae0-474509d985e5.jpg.webp","Beer garden to remain in city park with new lease","The Waggon and Horses agrees to no longer sell ice cream from outdoor seating in Millhouses Park.","South Yorkshire"
"https://www.bbc.com/news/articles/crm2zz7keneo","17 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9c12/live/d8b55a60-74d3-11ef-a725-bd96b768a0bf.jpg.webp","Titanic yard boss: 'Strong case' for a single owner","Harland & Wolff has been heavily loss making since it was bought out of administration five years ago.","Northern Ireland"
"https://www.bbc.com/news/articles/c1e866ypp1zo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/2d1b/live/a974ff00-7cb0-11ef-b66d-034eed51208d.jpg.webp","The world’s diamond polishing capital feels Ukraine war impact","Wars and recession in key Western markets have left India's diamond industry workers distraught and jobless.","Asia"
"https://www.bbc.com/future/article/20221026-what-if-polluters-paid-for-climate-change-loss-and-damage","23 Sep 2024","https://ichef.bbci.co.uk/images/ic/480x270/p0d9psc1.jpg.webp","The world's greatest unpaid debt?","Should rich countries and fossil fuel companies pay for the climate losses and damages they have caused?","Future"
"https://www.bbc.com/news/articles/cly8yj42g5wo","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/70a4/live/fc8f45d0-71d7-11ef-b908-d973c67fbe17.jpg.webp","New bank hubs to open but many don't have printers","New rules on branch closures take effect but questions remain over the facilities in shared hubs.","Business"
"https://www.bbc.com/news/articles/cjd5xdn81k0o","5 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/393f/live/6a13fe60-7b75-11ef-b487-93d163dc71aa.jpg.webp","Housing push could swamp services, county councils warn","Labour is aiming to get 1.5 million homes built in five years by ""unblocking"" the planning system.","Politics"
"https://www.bbc.com/news/articles/c20jx91xe2do","6 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/7935/live/edafde20-7bce-11ef-b02d-c5f3b724a1ea.jpg.webp","Starmer's willingness to be unpopular comes with risks","Even a colossal majority may offer little shield from the wrath of the disappointed, if delivery is deemed to fall short.","Politics"
"https://www.bbc.com/news/articles/c9857rm73ylo","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0952/live/6415f9a0-7049-11ef-94ac-e3048d012d2b.jpg.webp","Fort William traffic congestion at 'crisis point'","Lochaber Chamber of Commerce and businesses say the problem is affecting economic growth.","Highlands & Islands"
"https://www.bbc.com/news/articles/c1wnp0vln19o","4 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/007d/live/c3e9df90-7d73-11ef-bda7-e1427314c99f.jpg.webp","Who was Hezbollah leader Hassan Nasrallah?","He played a key role in turning Hezbollah into the political and military force it is today.","Middle East"
"https://www.bbc.com/news/articles/cz04md0zdrno","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/76fb/live/01fb3a60-75ca-11ef-9fef-0d3ac4d91310.jpg.webp","US goes big with first interest rate cut in four years","The Federal Reserve has cut its key lending rate by 0.5 percentage points - a larger cut than expected.","Business"
"https://www.bbc.com/news/articles/c5y9g751xg4o","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/597f/live/f4011ad0-71e4-11ef-8c1a-df523ba43a9a.jpg.webp","Why Pakistan's female doctors don't feel safe","Women working in Pakistan’s hospitals say they face sexual harassment, violence and verbal abuse.","Asia"
"https://www.bbc.com/news/articles/c4gqg8ekkelo","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/5502/live/6870f8d0-7119-11ef-a392-1b47b7bdf159.jpg.webp","Business leaders reassure traders over uni job cuts","Huddersfield traders say they are worried about the effect of job and course cuts at the town's uni.","West Yorkshire"
"https://www.bbc.com/news/articles/c1k7zy9n2x0o","21 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/6a9d/live/b5d907c0-7ff1-11ef-83dd-fbf1b9732cf0.jpg.webp","Kenyan MPs begin process to impeach deputy president","Legislators in Kenya have started the process of removing the country's deputy president from office.","Africa"
