"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/c3wpxjlvg90o","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/bcea/live/2e9d6000-7b3a-11ef-bba4-ab568a9ca817.jpg.webp","Drakeford not keen on raising Welsh income tax","Welsh finance secretary says a rise will be considered but he would need a ""lot of persuasion"".","Wales"
"https://www.bbc.com/news/articles/cd0z289ervmo","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/8cbe/live/5a32fe40-7b31-11ef-901d-11660e748fb3.jpg.webp","Finland to return pandas to China early due to cost","Inflation and debt are among the reasons Lumi and Pyry are being sent home eight years early.","Europe"
"https://www.bbc.com/news/live/cx2l7xn2402t","","https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/443c/live/69d78080-7665-11ef-8c1a-df523ba43a9a.jpg.webp","Bank of England holds interest rates at 5%","Bank of England Governor Andrew Bailey says the rate should come down in coming months, but ""it's vital that inflation stays low"".",""
"https://www.bbc.com/news/articles/cy5yy13ng33o","17 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/f7fd/live/4389e480-7454-11ef-9a7a-615c3d94793b.jpg.webp","Junior doctors want more despite backing pay deal","Union says more above-inflation rises needed in coming years or there will be consequences.","Health"
"https://www.bbc.com/news/articles/c4g5wdlnwp9o","4 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/0452/live/785c09a0-8088-11ef-83dd-fbf1b9732cf0.jpg.webp","Irish budget repeats 'boom-to-bust' mistakes, watchdog warns","Finance Minister Jack Chambers announced a budget package of spending increases and tax cuts on Tuesday.","Europe"
"https://www.bbc.com/news/articles/cje39jpk404o","20 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/fde7/live/d7184f30-7723-11ef-b282-4535eb84fe4b.jpg.webp","Government borrowing in August highest since Covid","Higher spending on public services and benefits led to a rise in government borrowing, figures show.","Business"
"https://www.bbc.com/news/articles/crl8jzj9g7go","6 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/46ee/live/65dffcc0-7be5-11ef-a835-4d10169418a5.jpg.webp","Growth for NI economy in second quarter of 2024","The growth came from construction and the services sector, which is the largest part of the economy.","Northern Ireland"
"https://www.bbc.com/news/articles/c8el4kgk98eo","5 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/ee53/live/686fb860-7ce2-11ef-bb53-3da3ce6977cd.jpg.webp","Zimbabwe knocks 40% off value of gold-backed currency","The central bank says the exchange rate allows for greater flexibility.","Africa"
"https://www.bbc.com/news/articles/cly3ll8vplno","16 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/40b1/live/10c05300-72c8-11ef-8e44-d19dc494b38d.jpg.webp","Regulator ups fees due to 'mismanaged' insurers","The GFSC says it intends to increase fees by between 50% and 600% for retail insurance companies.","Guernsey"
"https://www.bbc.com/news/articles/cy89ez894rko","5 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/25a4/live/51925930-7c9d-11ef-81d3-55312c1049ed.jpg.webp","Japan's scandal-hit ruling party picks next PM","Shigeru Ishiba has been elected leader of the LDP, positioning him to be Japan's next prime minister.","Asia"
"https://www.bbc.com/news/articles/c4gqzxe68e6o","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/cf84/live/330dc7d0-75bb-11ef-85d0-83a5bb291f55.jpg.webp","Union votes to accept 5.5% NHS Scotland pay deal","Almost 170,000 NHS Scotland staff would get the pay rise backdated to April if unions accept the offer.","Scotland"
"https://www.bbc.com/news/articles/cz9pkww87qzo","5 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/e35d/live/858c6f00-7cb6-11ef-98ba-d370e3e0547e.jpg.webp","Factory workers walk out over pay offer 'insult'","Hundreds of Unite union members who work at Bakkavor in Spalding are striking.","Lincolnshire"
"https://www.bbc.com/news/articles/cd6q4qz01lpo","22 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/05f4/live/19ff9140-776b-11ef-810e-397f19423bb9.jpg.webp","Council to consult public over planned cuts","Eastbourne Borough Council is asking for feedback about plans for public toilets and car parks.",""
