date,gold_price
2015-01-02,1186.2
2015-01-05,1204.0
2015-01-06,1219.4
2015-01-07,1210.7
2015-01-08,1208.5
2015-01-09,1216.1
2015-01-12,1232.8
2015-01-13,1234.4
2015-01-14,1234.5
2015-01-15,1264.8
2015-01-16,1276.9
2015-01-19,1294.2
2015-01-21,1293.7
2015-01-22,1300.7
2015-01-23,1292.6
2015-01-26,1279.4
2015-01-27,1291.7
2015-01-28,1285.9
2015-01-29,1255.9
2015-01-30,1279.2
2015-02-02,1276.9
2015-02-03,1260.3
2015-02-04,1264.5
2015-02-05,1262.7
2015-02-06,1234.6
2015-02-09,1241.5
2015-02-10,1232.2
2015-02-11,1219.6
2015-02-12,1220.7
2015-02-13,1227.1
2015-02-16,1208.6
2015-02-18,1200.2
2015-02-19,1207.6
2015-02-20,1204.9
2015-02-23,1200.8
2015-02-24,1197.3
2015-02-25,1201.5
2015-02-26,1210.1
2015-02-27,1213.1
2015-03-02,1208.2
2015-03-03,1204.4
2015-03-04,1200.9
2015-03-05,1196.2
2015-03-06,1164.3
2015-03-09,1166.5
2015-03-10,1160.1
2015-03-11,1150.6
2015-03-12,1151.9
2015-03-13,1152.4
2015-03-16,1153.2
2015-03-17,1148.2
2015-03-18,1151.3
2015-03-19,1169.0
2015-03-20,1184.6
2015-03-23,1187.7
2015-03-24,1191.4
2015-03-25,1197.0
2015-03-26,1204.8
2015-03-27,1199.8
2015-03-30,1185.3
2015-03-31,1183.2
2015-04-01,1208.2
2015-04-02,1200.9
2015-04-06,1218.6
2015-04-07,1210.6
2015-04-08,1203.1
2015-04-09,1193.6
2015-04-10,1204.6
2015-04-13,1199.3
2015-04-14,1192.6
2015-04-15,1201.3
2015-04-16,1198.0
2015-04-17,1203.1
2015-04-20,1193.7
2015-04-21,1203.1
2015-04-22,1186.9
2015-04-23,1194.3
2015-04-24,1175.0
2015-04-27,1203.2
2015-04-28,1213.9
2015-04-29,1210.0
2015-04-30,1182.4
2015-05-01,1174.5
2015-05-04,1186.8
2015-05-05,1193.2
2015-05-06,1190.3
2015-05-07,1182.2
2015-05-08,1188.9
2015-05-11,1183.0
2015-05-12,1192.4
2015-05-13,1218.2
2015-05-14,1225.2
2015-05-15,1225.3
2015-05-18,1227.6
2015-05-19,1206.7
2015-05-20,1208.7
2015-05-21,1204.1
2015-05-22,1204.0
2015-05-25,1186.9
2015-05-27,1185.6
2015-05-28,1188.8
2015-05-29,1189.8
2015-06-01,1188.7
2015-06-02,1194.4
2015-06-03,1184.9
2015-06-04,1175.2
