date,sentiment_score
2017-01-16,-0.05350000000000001
2017-01-17,0.10170000000000001
2017-01-18,0.5106
2017-01-21,0.0
2017-01-23,-0.29295
2017-01-24,0.0
2017-01-25,0.1909
2017-01-27,0.0
2017-01-30,-0.6124
2017-01-31,0.13255
2017-02-03,-0.2732
2017-02-06,-0.0857
2017-02-07,0.0
2017-02-11,-0.6249
2017-02-12,0.6808
2017-02-13,0.2023
2017-02-15,-0.34
2017-02-17,0.0
2017-02-21,0.0
2017-02-24,-0.028766666666666645
2017-02-27,0.26335
2017-02-28,-0.5719
2017-03-02,0.34
2017-03-03,0.0
2017-03-06,-0.022999999999999993
2017-03-07,0.5106
2017-03-09,0.0
2017-03-10,0.5859
2017-03-11,0.1591
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.13893333333333333
2017-03-17,-0.189
2017-03-20,0.0
2017-03-21,0.07415
2017-03-29,0.0
2017-04-07,0.027750000000000007
2017-04-08,0.4404
2017-04-21,-0.2732
2017-04-23,0.0
2017-04-24,0.0
2017-05-06,0.6369
2017-05-09,-0.5028
2017-05-11,-0.4019
2017-05-15,-0.3182
2017-05-16,0.0
2017-05-17,0.2023
2017-05-19,-0.0258
2017-05-22,-0.4404
2017-05-30,0.34
2017-06-05,-0.26496666666666663
2017-06-06,0.0086
2017-06-07,0.2511666666666667
2017-06-13,0.0
2017-06-15,0.34
2017-06-19,0.2584
2017-06-22,0.08613333333333334
2017-06-29,-0.2732
2017-07-10,-0.4588
2017-07-13,0.0
2017-08-05,0.0
2017-08-08,0.4215
2017-08-12,-0.5423
2017-08-14,-0.12439999999999998
2017-08-15,0.0
2017-08-18,-0.18795
2017-08-21,-0.41169999999999995
2017-08-25,0.0
2017-08-26,0.6908
2017-08-29,-0.4019
2017-08-31,-0.296
2017-09-01,0.4019
2017-09-06,-0.4404
2017-09-07,-0.7184
2017-09-08,0.0
2017-09-11,-0.6124
2017-09-12,0.09664999999999999
2017-09-14,0.20095
2017-09-18,0.0
2017-10-02,0.2023
2017-10-04,0.0
2017-10-05,0.34
2017-10-12,0.0
2017-10-17,0.5106
2017-10-18,0.0
2017-10-19,-0.296
2017-10-23,-0.296
2017-10-27,0.3875
2017-10-30,0.09
2017-11-01,0.2732
2017-11-03,0.0
2017-11-07,0.0
2017-11-10,0.1531
2017-11-13,-0.7227
2017-11-17,-0.23565
2017-11-20,0.0
2017-11-21,0.3612
2017-11-25,0.34
2017-12-02,-0.2732
2017-12-04,0.0
2017-12-06,0.0
2017-12-08,0.0
2017-12-12,-0.3919
2017-12-13,0.0258
2017-12-15,-0.0516
2017-12-18,0.6757
2017-12-20,0.0
2017-12-26,-0.5267
2017-12-28,-0.6908
2017-12-29,-0.8591
2018-01-02,-0.6124
2018-01-09,-0.2023
2018-01-10,-0.4588
2018-01-16,0.0258
2018-01-18,-0.5423
2018-01-19,0.0
2018-01-22,0.0
2018-01-25,0.0
2018-01-26,0.128
2018-02-08,0.2732
2018-02-10,0.0
2018-02-19,0.0
2018-02-20,0.2023
2018-02-23,0.2732
2018-03-05,0.20379999999999998
2018-03-09,0.09990000000000004
2018-03-19,0.08333333333333333
2018-03-21,0.0
2018-03-28,0.7783
2018-03-29,0.0
2018-04-02,0.0516
2018-04-08,0.0
2018-04-10,0.3182
2018-04-11,-0.1779
2018-04-13,-0.32735
2018-04-14,0.0
2018-04-16,0.006100000000000008
2018-05-17,-0.3427
2018-05-24,0.0
2018-05-26,0.6369
2018-05-30,0.6808
2018-06-11,0.4215
2018-06-12,0.0
2018-06-13,-0.05936666666666668
2018-06-14,0.0
2018-06-15,-0.1909
2018-06-19,-0.3947
2018-06-27,-0.2732
2018-06-29,0.0
2018-07-03,-0.7414
2018-07-04,0.0
2018-07-05,0.4404
2018-07-12,-0.11926666666666667
2018-07-16,-0.4767
2018-07-19,0.0
2018-07-20,-0.1779
2018-07-23,0.0
2018-08-10,-0.296
2018-08-17,0.148
2018-08-18,0.0
2018-08-23,-0.0258
2018-08-29,0.2263
2018-09-05,0.0
2018-09-07,0.0258
2018-09-10,0.7506
2018-09-17,-0.5719
2018-09-19,-0.4215
2018-09-21,0.0
2018-09-24,-0.2732
2018-09-26,0.0
2018-09-28,0.4404
2018-10-05,0.5267
2018-10-11,-0.3818
2018-10-15,0.0
2018-10-17,0.5859
2018-10-19,0.2732
2018-10-23,-0.296
2018-10-26,0.0
2018-11-06,-0.34
2018-11-07,0.1027
2018-11-13,0.0
2018-11-14,0.4939
2018-11-16,0.7351
2018-12-03,0.0
2018-12-21,0.0
2018-12-31,0.1779
2019-01-02,0.34
2019-01-03,-0.743
2019-01-14,0.0
2019-01-25,0.0
2019-02-11,0.0
2019-02-19,-0.7003
2019-02-25,0.2933
2019-03-04,0.0
2019-03-07,-0.5423
2019-03-11,0.0
2019-03-20,-0.1531
2019-04-01,0.0
2019-04-04,0.0
