date,usd_rate,oil_price,bond_yield_price,interest_rate,inflation_rate
2019-04-18,97.47,64.0,2.56,2.43,1.95
2019-04-22,97.29,65.7,2.587,2.44,1.95
2019-04-23,97.64,66.3,2.569,2.44,1.95
2019-04-24,98.17,65.89,2.518,2.44,1.96
2019-04-25,98.2,65.21,2.534,2.44,1.98
2019-04-26,98.01,63.3,2.5,2.44,1.97
2019-04-29,97.86,63.5,2.527,2.45,1.96
2019-04-30,97.48,63.91,2.504,2.45,1.95
2019-05-01,97.69,63.6,2.502,2.45,1.93
2019-05-02,97.83,61.81,2.545,2.41,1.89
2019-05-03,97.52,61.94,2.53,2.4,1.91
2019-05-06,97.52,62.25,2.5,2.4,1.91
2019-05-07,97.63,61.4,2.448,2.4,1.87
2019-05-08,97.62,62.12,2.485,2.39,1.87
2019-05-09,97.37,61.7,2.453,2.38,1.85
2019-05-10,97.33,61.66,2.473,2.38,1.88
2019-05-13,97.32,61.04,2.403,2.38,1.85
2019-05-14,97.53,61.78,2.414,2.38,1.86
2019-05-15,97.57,62.02,2.377,2.4,1.83
2019-05-16,97.86,62.87,2.394,2.39,1.84
2019-05-17,98.0,62.76,2.393,2.39,1.81
2019-05-20,97.93,63.1,2.419,2.39,1.81
2019-05-21,98.06,62.99,2.428,2.39,1.83
2019-05-22,98.04,61.42,2.38,2.38,1.79
2019-05-23,97.86,57.91,2.322,2.38,1.73
2019-05-24,97.61,58.63,2.324,2.38,1.76
2019-05-28,97.95,59.14,2.267,2.39,1.73
2019-05-29,98.14,58.81,2.262,2.39,1.75
2019-05-30,98.14,56.59,2.217,2.39,1.74
2019-05-31,97.75,53.5,2.133,2.4,1.74
2019-06-03,97.14,53.25,2.075,2.38,1.73
2019-06-04,97.07,53.48,2.121,2.38,1.74
2019-06-05,97.32,51.68,2.131,2.38,1.75
2019-06-06,97.04,52.59,2.121,2.37,1.73
2019-06-07,96.54,53.99,2.084,2.37,1.74
2019-06-10,96.76,53.26,2.15,2.37,1.73
2019-06-11,96.69,53.27,2.145,2.37,1.72
2019-06-12,97.0,51.14,2.122,2.37,1.71
2019-06-13,97.01,52.28,2.093,2.37,1.68
2019-06-14,97.57,52.51,2.084,2.36,1.63
2019-06-17,97.56,51.93,2.091,2.38,1.61
2019-06-18,97.64,53.9,2.058,2.37,1.64
2019-06-19,97.12,53.76,2.029,2.37,1.67
2019-06-20,96.63,56.65,2.023,2.37,1.74
2019-06-21,96.22,57.43,2.059,2.38,1.73
2019-06-24,95.98,57.9,2.018,2.38,1.71
2019-06-25,96.14,57.83,1.988,2.38,1.67
2019-06-26,96.21,59.38,2.05,2.38,1.7
2019-06-27,96.19,59.43,2.014,2.38,1.68
2019-06-28,96.13,58.47,2.007,2.4,1.69
2019-07-01,96.84,59.09,2.033,2.39,1.69
2019-07-02,96.73,56.25,1.976,2.4,1.65
2019-07-03,96.77,57.34,1.953,2.41,1.65
2019-07-05,97.29,57.51,2.039,2.42,1.69
2019-07-08,97.38,57.66,2.048,2.41,1.7
2019-07-09,97.49,57.83,2.072,2.41,1.71
2019-07-10,97.1,60.43,2.061,2.41,1.74
2019-07-11,97.05,60.2,2.143,2.4,1.77
2019-07-12,96.81,60.21,2.124,2.38,1.77
2019-07-15,96.93,59.58,2.09,2.4,1.77
2019-07-16,97.39,57.62,2.106,2.41,1.8
2019-07-17,97.22,56.78,2.043,2.41,1.75
2019-07-18,96.79,55.3,2.026,2.41,1.79
2019-07-19,97.15,55.63,2.057,2.41,1.8
2019-07-22,97.26,56.22,2.05,2.4,1.79
2019-07-23,97.7,56.77,2.078,2.4,1.81
2019-07-24,97.73,55.88,2.05,2.4,1.79
2019-07-25,97.82,56.02,2.083,2.4,1.8
2019-07-26,98.01,56.2,2.074,2.4,1.78
2019-07-29,98.04,56.87,2.063,2.4,1.77
2019-07-30,98.05,58.05,2.06,2.39,1.78
2019-07-31,98.52,58.58,2.007,2.4,1.76
2019-08-01,98.37,53.95,1.902,2.14,1.7
2019-08-02,98.07,55.66,1.843,2.14,1.66
2019-08-05,97.52,54.69,1.718,2.13,1.6
2019-08-06,97.63,53.63,1.716,2.13,1.62
2019-08-07,97.54,51.09,1.721,2.12,1.62
2019-08-08,97.62,52.54,1.719,2.12,1.65
2019-08-09,97.49,54.5,1.745,2.12,1.66
2019-08-12,97.38,54.93,1.64,2.12,1.61
2019-08-13,97.81,57.1,1.702,2.12,1.63
2019-08-14,97.99,55.23,1.583,2.12,1.57
2019-08-15,98.14,54.47,1.502,2.13,1.54
2019-08-16,98.14,54.87,1.562,2.13,1.54
2019-08-19,98.35,56.21,1.608,2.13,1.56
2019-08-20,98.19,56.34,1.552,2.13,1.53
2019-08-21,98.3,55.68,1.591,2.12,1.54
2019-08-22,98.17,55.35,1.613,2.12,1.55
2019-08-23,97.64,54.17,1.533,2.12,1.54
2019-08-26,98.08,53.64,1.538,2.12,1.54
2019-08-27,98.0,54.93,1.474,2.12,1.55
2019-08-28,98.21,55.78,1.468,2.12,1.55
2019-08-29,98.51,56.71,1.496,2.12,1.59
2019-08-30,98.92,55.1,1.499,2.13,1.55
2019-09-03,99.0,53.94,1.462,2.13,1.5
2019-09-04,98.45,56.26,1.471,2.13,1.51
2019-09-05,98.41,56.3,1.565,2.13,1.56
2019-09-06,98.39,56.52,1.56,2.12,1.54
2019-09-09,98.28,57.85,1.647,2.13,1.57
2019-09-10,98.33,57.4,1.744,2.13,1.6
2019-09-11,98.64,55.75,1.745,2.13,1.6
2019-09-12,98.31,55.09,1.778,2.13,1.63
2019-09-13,98.26,54.85,1.901,2.14,1.67
2019-09-16,98.61,62.9,1.843,2.25,1.67
2019-09-17,98.26,59.34,1.81,2.3,1.66
2019-09-18,98.56,58.11,1.8,2.25,1.59
2019-09-19,98.27,58.13,1.787,1.9,1.61
2019-09-20,98.51,58.09,1.722,1.9,1.61
2019-09-23,98.6,58.64,1.723,1.9,1.61
2019-09-24,98.34,57.29,1.652,1.9,1.58
2019-09-25,99.04,56.49,1.737,1.9,1.6
2019-09-26,99.13,56.41,1.697,1.85,1.57
2019-09-27,99.11,55.91,1.687,1.83,1.53
2019-09-30,99.38,54.07,1.668,1.9,1.53
2019-10-01,99.13,53.62,1.635,1.88,1.52
2019-10-02,99.02,52.64,1.601,1.85,1.5
2019-10-03,98.86,52.45,1.534,1.83,1.48
2019-10-04,98.81,52.81,1.529,1.82,1.5
2019-10-07,98.97,52.75,1.565,1.82,1.51
2019-10-08,99.13,52.63,1.532,1.82,1.48
2019-10-09,99.12,52.59,1.587,1.82,1.49
2019-10-10,98.7,53.55,1.67,1.82,1.52
2019-10-11,98.3,54.7,1.734,1.82,1.56
2019-10-15,98.29,52.81,1.771,1.9,1.56
2019-10-16,98.0,53.36,1.745,1.9,1.57
2019-10-17,97.61,53.93,1.75,1.85,1.59
2019-10-18,97.28,53.78,1.754,1.85,1.6
2019-10-21,97.33,53.31,1.803,1.85,1.61
2019-10-22,97.53,54.16,1.768,1.85,1.61
2019-10-23,97.49,55.97,1.768,1.85,1.61
2019-10-24,97.63,56.23,1.771,1.85,1.62
2019-10-25,97.83,56.66,1.799,1.83,1.65
2019-10-28,97.76,55.81,1.845,1.83,1.64
2019-10-29,97.69,55.54,1.837,1.82,1.61
2019-10-30,97.65,55.06,1.775,1.82,1.57
2019-10-31,97.35,54.18,1.688,1.58,1.54
2019-11-01,97.24,56.2,1.714,1.57,1.59
2019-11-04,97.5,56.54,1.781,1.56,1.64
2019-11-05,97.98,57.23,1.857,1.56,1.68
2019-11-06,97.95,56.35,1.83,1.55,1.66
2019-11-07,98.14,57.15,1.929,1.55,1.69
2019-11-08,98.35,57.24,1.945,1.55,1.71
2019-11-12,98.31,56.8,1.928,1.55,1.7
2019-11-13,98.37,57.12,1.891,1.55,1.66
2019-11-14,98.16,56.77,1.822,1.55,1.62
2019-11-15,98.0,57.72,1.836,1.55,1.63
2019-11-18,97.79,57.05,1.815,1.55,1.63
2019-11-19,97.86,55.21,1.786,1.55,1.63
2019-11-20,97.93,57.11,1.747,1.55,1.6
2019-11-21,97.99,58.58,1.776,1.55,1.63
2019-11-22,98.27,57.77,1.771,1.55,1.62
2019-11-25,98.32,58.01,1.752,1.55,1.62
2019-11-26,98.25,58.41,1.741,1.55,1.62
2019-11-27,98.37,58.11,1.767,1.55,1.63
2019-11-29,98.27,55.17,1.774,1.56,1.61
2019-12-02,97.86,55.96,1.822,1.56,1.65
2019-12-03,97.74,56.1,1.717,1.55,1.63
2019-12-04,97.65,58.43,1.778,1.55,1.66
2019-12-05,97.41,58.43,1.809,1.55,1.67
2019-12-06,97.7,59.2,1.843,1.55,1.69
2019-12-09,97.64,59.02,1.821,1.55,1.69
2019-12-10,97.41,59.24,1.842,1.55,1.71
2019-12-11,97.08,58.76,1.793,1.55,1.69
2019-12-12,97.4,59.18,1.896,1.55,1.72
2019-12-13,97.17,60.07,1.824,1.55,1.7
2019-12-16,97.02,60.21,1.873,1.56,1.73
2019-12-17,97.22,60.94,1.875,1.55,1.75
2019-12-18,97.4,60.93,1.922,1.55,1.76
2019-12-19,97.38,61.22,1.922,1.55,1.77
2019-12-20,97.69,60.44,1.919,1.55,1.77
2019-12-23,97.66,60.52,1.928,1.55,1.75
2019-12-24,97.65,61.11,1.903,1.55,1.75
2019-12-26,97.53,61.68,1.894,1.55,1.74
2019-12-27,96.92,61.72,1.877,1.55,1.73
2019-12-30,96.74,61.68,1.886,1.55,1.75
2019-12-31,96.39,61.06,1.919,1.55,1.77
2020-01-02,96.85,61.18,1.877,1.55,1.8
2020-01-03,96.84,63.05,1.793,1.55,1.77
2020-01-06,96.67,63.27,1.809,1.55,1.75
2020-01-07,97.0,62.7,1.811,1.55,1.74
2020-01-08,97.3,59.61,1.874,1.55,1.75
2020-01-09,97.45,59.56,1.855,1.55,1.74
2020-01-10,97.36,59.04,1.82,1.54,1.76
2020-01-13,97.34,58.08,1.848,1.54,1.77
2020-01-14,97.37,58.23,1.813,1.54,1.77
2020-01-15,97.23,57.81,1.786,1.54,1.75
2020-01-16,97.32,58.52,1.809,1.54,1.74
2020-01-17,97.64,58.54,1.825,1.55,1.75
2020-01-21,97.53,58.34,1.774,1.55,1.74
2020-01-22,97.53,56.74,1.769,1.55,1.72
2020-01-23,97.69,55.59,1.731,1.55,1.7
2020-01-24,97.85,54.19,1.686,1.55,1.68
2020-01-27,97.96,53.14,1.613,1.55,1.63
2020-01-28,98.02,53.48,1.661,1.55,1.65
2020-01-29,97.99,53.33,1.581,1.55,1.64
2020-01-30,97.87,52.14,1.591,1.6,1.64
2020-01-31,97.39,51.56,1.505,1.59,1.65
2020-02-03,97.8,50.11,1.526,1.59,1.63
2020-02-04,97.96,49.61,1.603,1.59,1.64
2020-02-05,98.3,50.75,1.649,1.59,1.66
2020-02-06,98.5,50.95,1.644,1.59,1.67
2020-02-07,98.68,50.32,1.582,1.58,1.66
2020-02-10,98.83,49.57,1.563,1.58,1.66
2020-02-11,98.72,49.94,1.602,1.58,1.65
2020-02-12,99.05,51.17,1.637,1.58,1.66
2020-02-13,99.07,51.42,1.619,1.58,1.67
2020-02-14,99.12,52.05,1.588,1.58,1.66
2020-02-18,99.44,52.05,1.559,1.59,1.65
2020-02-19,99.71,53.29,1.568,1.59,1.65
2020-02-20,99.86,53.78,1.519,1.59,1.63
2020-02-21,99.26,53.38,1.473,1.58,1.61
2020-02-24,99.36,51.43,1.37,1.58,1.59
2020-02-25,98.97,49.9,1.355,1.58,1.53
2020-02-26,99.0,48.73,1.335,1.58,1.54
2020-02-27,98.51,47.09,1.274,1.58,1.53
2020-02-28,98.13,44.76,1.163,1.58,1.41
2020-03-02,97.36,46.75,1.152,1.59,1.41
2020-03-03,97.15,47.18,0.999,1.59,1.45
2020-03-04,97.34,46.78,1.055,1.09,1.46
2020-03-05,96.82,45.9,0.917,1.09,1.4
2020-03-06,95.95,41.28,0.773,1.09,1.31
2020-03-09,94.89,31.13,0.559,1.09,0.99
2020-03-10,96.41,34.36,0.8,1.09,1.0
2020-03-11,96.51,32.98,0.877,1.09,0.96
2020-03-12,97.47,31.5,0.812,1.1,0.92
2020-03-13,98.75,31.73,0.983,1.1,0.9
2020-03-16,98.07,28.7,0.74,0.25,0.73
2020-03-17,99.57,26.95,1.069,0.25,0.63
2020-03-18,101.16,20.37,1.183,0.25,0.63
2020-03-19,102.75,25.22,1.158,0.2,0.5
2020-03-20,102.82,22.43,0.885,0.15,0.75
2020-03-23,102.49,23.36,0.763,0.15,0.8
2020-03-24,102.04,24.01,0.858,0.12,0.97
2020-03-25,101.05,24.49,0.869,0.1,1.07
2020-03-26,99.35,22.6,0.848,0.1,1.07
2020-03-27,98.36,21.51,0.676,0.1,0.94
2020-03-30,99.18,20.09,0.726,0.09,0.95
2020-03-31,99.05,20.48,0.668,0.08,0.87
2020-04-01,99.67,20.31,0.602,0.06,0.91
2020-04-02,100.18,25.32,0.611,0.05,1.03
2020-04-03,100.58,28.34,0.599,0.05,1.08
2020-04-06,100.68,26.08,0.678,0.05,1.14
2020-04-07,99.9,23.63,0.726,0.05,1.17
2020-04-08,100.12,25.09,0.771,0.05,1.19
2020-04-09,99.52,22.76,0.729,0.05,1.23
2020-04-13,99.35,22.41,0.77,0.05,1.26
2020-04-14,98.89,20.11,0.75,0.05,1.29
2020-04-15,99.46,19.87,0.635,0.05,1.19
2020-04-16,100.03,19.87,0.617,0.05,1.03
2020-04-17,99.78,18.27,0.642,0.05,1.01
2020-04-20,99.96,-37.63,0.616,0.05,0.94
2020-04-21,100.26,10.01,0.566,0.05,0.96
2020-04-22,100.39,13.78,0.618,0.05,1.06
2020-04-23,100.43,16.5,0.603,0.04,1.05
2020-04-24,100.38,16.94,0.605,0.05,1.11
2020-04-27,100.04,12.78,0.664,0.04,1.17
2020-04-28,99.86,12.34,0.616,0.04,1.14
2020-04-29,99.57,15.06,0.628,0.04,1.14
2020-04-30,99.02,18.84,0.646,0.05,1.07
2020-05-01,99.08,19.78,0.618,0.05,1.06
2020-05-04,99.48,20.39,0.631,0.05,1.07
2020-05-05,99.71,24.56,0.662,0.05,1.1
2020-05-06,100.09,23.99,0.709,0.05,1.1
2020-05-07,99.89,23.55,0.639,0.05,1.08
2020-05-08,99.73,24.74,0.685,0.05,1.12
2020-05-11,100.24,24.14,0.707,0.05,1.13
2020-05-12,99.93,25.78,0.667,0.05,1.09
2020-05-13,100.24,25.29,0.654,0.05,1.07
2020-05-14,100.47,27.56,0.617,0.05,1.06
2020-05-15,100.4,29.43,0.644,0.05,1.09
2020-05-18,99.67,31.82,0.726,0.05,1.17
2020-05-19,99.37,32.5,0.692,0.05,1.15
2020-05-20,99.12,33.49,0.69,0.05,1.16
2020-05-21,99.37,33.92,0.68,0.05,1.14
2020-05-22,99.86,33.25,0.657,0.05,1.12
2020-05-26,98.91,34.35,0.695,0.05,1.13
2020-05-27,99.06,32.81,0.695,0.05,1.14
2020-05-28,98.38,33.71,0.697,0.05,1.18
2020-05-29,98.34,35.49,0.653,0.05,1.15
2020-06-01,97.83,35.44,0.667,0.05,1.18
2020-06-02,97.67,36.81,0.687,0.06,1.18
2020-06-03,97.28,37.29,0.746,0.06,1.21
2020-06-04,96.68,37.41,0.825,0.06,1.22
2020-06-05,96.94,39.55,0.893,0.07,1.27
2020-06-08,96.62,38.19,0.878,0.07,1.28
2020-06-09,96.32,38.94,0.824,0.07,1.26
2020-06-10,95.96,39.6,0.736,0.08,1.27
2020-06-11,96.73,36.34,0.666,0.08,1.21
2020-06-12,97.32,36.26,0.71,0.08,1.21
2020-06-15,96.71,37.12,0.72,0.09,1.23
2020-06-16,96.96,38.38,0.741,0.09,1.27
2020-06-17,97.16,37.96,0.733,0.09,1.26
2020-06-18,97.42,38.84,0.707,0.09,1.28
2020-06-19,97.62,39.75,0.694,0.09,1.3
2020-06-22,97.04,40.46,0.71,0.08,1.34
2020-06-23,96.65,40.37,0.715,0.08,1.38
2020-06-24,97.15,38.01,0.679,0.08,1.33
2020-06-25,97.43,38.72,0.682,0.08,1.33
2020-06-26,97.43,38.49,0.64,0.08,1.32
2020-06-29,97.54,39.7,0.627,0.08,1.34
2020-06-30,97.39,39.27,0.658,0.08,1.34
2020-07-01,97.2,39.82,0.676,0.08,1.37
2020-07-02,97.32,40.65,0.669,0.09,1.41
2020-07-06,96.72,40.63,0.678,0.09,1.45
2020-07-07,96.88,40.62,0.64,0.09,1.43
2020-07-08,96.43,40.9,0.666,0.09,1.42
2020-07-09,96.7,39.62,0.613,0.09,1.39
2020-07-10,96.65,40.55,0.643,0.09,1.41
2020-07-13,96.46,40.1,0.618,0.09,1.42
2020-07-14,96.26,40.29,0.625,0.09,1.41
2020-07-15,96.08,41.2,0.633,0.1,1.41
2020-07-16,96.35,40.75,0.618,0.1,1.41
2020-07-17,95.94,40.59,0.623,0.09,1.46
2020-07-20,95.83,40.81,0.613,0.1,1.46
2020-07-21,95.12,41.96,0.605,0.1,1.48
2020-07-22,94.99,41.9,0.6,0.09,1.48
2020-07-23,94.69,41.07,0.577,0.09,1.49
2020-07-24,94.43,41.29,0.587,0.09,1.51
2020-07-27,93.67,41.6,0.615,0.1,1.52
2020-07-28,93.7,41.04,0.579,0.1,1.51
2020-07-29,93.45,41.27,0.577,0.1,1.53
2020-07-30,93.02,39.92,0.545,0.1,1.52
2020-07-31,93.35,40.27,0.533,0.1,1.55
2020-08-03,93.54,41.01,0.554,0.1,1.58
2020-08-04,93.38,41.7,0.512,0.1,1.57
2020-08-05,92.87,42.19,0.549,0.1,1.61
2020-08-06,92.79,41.95,0.538,0.1,1.63
2020-08-07,93.43,41.22,0.566,0.1,1.61
2020-08-10,93.58,41.94,0.581,0.1,1.61
2020-08-11,93.63,41.61,0.643,0.1,1.63
2020-08-12,93.44,42.67,0.673,0.1,1.67
2020-08-13,93.33,42.24,0.717,0.1,1.67
2020-08-14,93.1,42.01,0.709,0.1,1.65
2020-08-17,92.85,42.89,0.692,0.1,1.66
2020-08-18,92.27,42.89,0.67,0.09,1.68
2020-08-19,92.89,42.93,0.685,0.09,1.67
2020-08-20,92.79,42.58,0.652,0.09,1.62
2020-08-21,93.25,42.34,0.636,0.09,1.64
2020-08-24,93.3,42.62,0.654,0.09,1.67
2020-08-25,93.02,43.35,0.688,0.09,1.7
2020-08-26,93.01,43.39,0.688,0.09,1.72
2020-08-27,93.0,43.04,0.754,0.08,1.73
2020-08-28,92.37,42.97,0.724,0.09,1.77
2020-08-31,92.14,42.61,0.706,0.09,1.8
2020-09-01,92.34,42.76,0.672,0.09,1.76
2020-09-02,92.85,41.51,0.648,0.09,1.73
2020-09-03,92.74,41.37,0.636,0.09,1.65
2020-09-04,92.72,39.77,0.721,0.09,1.7
2020-09-08,93.44,36.76,0.682,0.09,1.68
2020-09-09,93.25,38.05,0.698,0.09,1.71
2020-09-10,93.34,37.3,0.682,0.09,1.69
2020-09-11,93.33,37.33,0.669,0.09,1.65
2020-09-14,93.05,37.26,0.676,0.09,1.65
2020-09-15,93.05,38.28,0.68,0.09,1.67
2020-09-16,93.21,40.16,0.698,0.09,1.68
2020-09-17,92.97,40.97,0.689,0.09,1.66
2020-09-18,92.93,41.11,0.697,0.09,1.67
2020-09-21,93.66,39.31,0.669,0.09,1.62
2020-09-22,93.99,39.6,0.671,0.09,1.62
2020-09-23,94.39,39.93,0.677,0.09,1.6
2020-09-24,94.35,40.31,0.668,0.09,1.58
2020-09-25,94.64,40.25,0.656,0.09,1.58
2020-09-28,94.28,40.6,0.658,0.09,1.61
2020-09-29,93.89,39.29,0.651,0.09,1.64
2020-09-30,93.89,40.22,0.686,0.09,1.63
2020-10-01,93.71,38.72,0.679,0.09,1.63
2020-10-02,93.84,37.05,0.704,0.09,1.64
2020-10-05,93.51,39.22,0.778,0.09,1.68
2020-10-06,93.69,40.67,0.734,0.09,1.66
2020-10-07,93.63,39.95,0.784,0.09,1.71
2020-10-08,93.61,41.19,0.779,0.09,1.72
2020-10-09,93.06,40.6,0.779,0.09,1.73
2020-10-13,93.53,40.2,0.729,0.09,1.7
2020-10-14,93.38,41.04,0.727,0.09,1.69
2020-10-15,93.86,40.96,0.739,0.09,1.69
2020-10-16,93.68,40.88,0.749,0.09,1.71
2020-10-19,93.43,40.83,0.772,0.09,1.71
2020-10-20,93.07,41.46,0.786,0.09,1.72
2020-10-21,92.61,40.03,0.821,0.09,1.74
2020-10-22,92.95,40.64,0.861,0.09,1.76
2020-10-23,92.77,39.85,0.841,0.09,1.75
2020-10-26,93.04,38.56,0.803,0.09,1.72
2020-10-27,92.94,39.57,0.771,0.09,1.71
2020-10-28,93.4,37.39,0.774,0.09,1.7
2020-10-29,93.96,36.17,0.831,0.09,1.71
2020-10-30,94.04,35.79,0.874,0.09,1.7
2020-11-02,94.13,36.81,0.852,0.09,1.71
2020-11-03,93.55,37.66,0.896,0.09,1.72
2020-11-04,93.41,39.15,0.771,0.09,1.64
2020-11-05,92.53,38.79,0.766,0.09,1.66
2020-11-06,92.23,37.14,0.82,0.09,1.65
2020-11-09,92.72,40.29,0.924,0.09,1.73
2020-11-10,92.75,41.36,0.96,0.09,1.76
2020-11-12,92.96,41.12,0.883,0.09,1.71
2020-11-13,92.75,40.13,0.898,0.09,1.72
2020-11-16,92.64,41.34,0.911,0.09,1.72
2020-11-17,92.42,41.43,0.862,0.09,1.7
2020-11-18,92.32,41.82,0.87,0.09,1.7
2020-11-19,92.29,41.74,0.842,0.08,1.7
2020-11-20,92.39,42.15,0.824,0.08,1.69
2020-11-23,92.5,43.06,0.859,0.08,1.71
2020-11-24,92.23,44.91,0.885,0.08,1.74
2020-11-25,91.99,45.71,0.882,0.08,1.75
2020-11-27,91.79,45.53,0.842,0.08,1.75
2020-11-30,91.87,45.34,0.842,0.09,1.77
2020-12-01,91.31,44.55,0.929,0.09,1.81
2020-12-02,91.12,45.28,0.938,0.09,1.85
2020-12-03,90.71,45.64,0.911,0.09,1.86
2020-12-04,90.7,46.26,0.973,0.09,1.89
2020-12-07,90.79,45.76,0.928,0.09,1.88
2020-12-08,90.96,45.6,0.921,0.09,1.89
2020-12-09,91.09,45.52,0.938,0.09,1.91
2020-12-10,90.82,46.78,0.906,0.09,1.88
2020-12-11,90.98,46.57,0.896,0.09,1.87
2020-12-14,90.71,46.99,0.898,0.09,1.88
2020-12-15,90.47,47.62,0.911,0.09,1.91
2020-12-16,90.45,47.82,0.92,0.09,1.92
2020-12-17,89.82,48.36,0.935,0.09,1.94
2020-12-18,90.02,49.1,0.945,0.09,1.95
2020-12-21,90.04,47.74,0.938,0.09,1.95
2020-12-22,90.65,47.02,0.921,0.09,1.94
2020-12-23,90.41,48.12,0.945,0.09,1.97
2020-12-24,90.32,48.23,0.926,0.09,1.97
2020-12-28,90.34,47.62,0.923,0.09,1.97
2020-12-29,89.99,48.0,0.94,0.09,1.96
2020-12-30,89.68,48.4,0.926,0.09,1.96
2020-12-31,89.94,48.52,0.916,0.09,1.99
2021-01-04,89.87,47.62,0.918,0.09,2.01
2021-01-05,89.44,49.93,0.955,0.09,2.03
2021-01-06,89.53,50.63,1.039,0.09,2.06
2021-01-07,89.83,50.83,1.081,0.09,2.09
2021-01-08,90.1,52.24,1.119,0.09,2.06
2021-01-11,90.46,52.25,1.144,0.09,2.06
2021-01-12,90.09,53.21,1.129,0.09,2.08
2021-01-13,90.36,52.91,1.092,0.09,2.06
2021-01-14,90.24,53.57,1.129,0.09,2.09
2021-01-15,90.77,52.36,1.087,0.09,2.1
2021-01-19,90.5,52.98,1.092,0.09,2.1
2021-01-20,90.47,53.24,1.077,0.09,2.12
2021-01-21,90.13,53.13,1.109,0.08,2.1
2021-01-22,90.24,52.27,1.086,0.08,2.09
2021-01-25,90.39,52.77,1.033,0.08,2.08
2021-01-26,90.17,52.61,1.033,0.08,2.08
2021-01-27,90.65,52.85,1.013,0.08,2.08
2021-01-28,90.46,52.34,1.052,0.07,2.13
2021-01-29,90.58,52.2,1.071,0.07,2.13
2021-02-01,90.98,53.55,1.079,0.08,2.11
2021-02-02,91.2,54.76,1.095,0.08,2.15
2021-02-03,91.17,55.69,1.139,0.08,2.19
2021-02-04,91.53,56.23,1.136,0.08,2.17
2021-02-05,91.04,56.85,1.169,0.08,2.21
2021-02-08,90.93,57.97,1.176,0.07,2.22
2021-02-09,90.44,58.36,1.16,0.08,2.22
2021-02-10,90.37,58.68,1.124,0.08,2.21
2021-02-11,90.42,58.24,1.165,0.08,2.2
2021-02-12,90.48,59.47,1.21,0.08,2.21
2021-02-16,90.51,60.05,1.311,0.08,2.24
2021-02-17,90.95,61.14,1.282,0.08,2.21
2021-02-18,90.59,60.52,1.297,0.07,2.16
2021-02-19,90.36,59.24,1.34,0.07,2.14
2021-02-22,90.01,61.49,1.369,0.07,2.16
2021-02-23,90.17,61.67,1.343,0.07,2.16
2021-02-24,90.18,63.22,1.372,0.07,2.17
2021-02-25,90.13,63.53,1.53,0.07,2.14
2021-02-26,90.88,61.5,1.407,0.07,2.15
2021-03-01,91.04,60.64,1.426,0.07,2.16
2021-03-02,90.79,59.75,1.398,0.07,2.2
2021-03-03,90.95,61.28,1.484,0.07,2.21
2021-03-04,91.63,63.83,1.557,0.07,2.2
2021-03-05,91.98,66.09,1.577,0.07,2.22
2021-03-08,92.31,65.05,1.603,0.07,2.21
2021-03-09,91.96,64.01,1.528,0.07,2.21
2021-03-10,91.82,64.44,1.521,0.07,2.26
2021-03-11,91.42,66.02,1.535,0.07,2.28
2021-03-12,91.68,65.61,1.625,0.07,2.26
2021-03-15,91.83,65.39,1.607,0.07,2.27
2021-03-16,91.86,64.8,1.621,0.07,2.3
2021-03-17,91.44,64.6,1.646,0.07,2.3
2021-03-18,91.86,60.0,1.706,0.07,2.27
2021-03-19,91.92,61.42,1.73,0.07,2.31
2021-03-22,91.74,61.55,1.695,0.07,2.33
2021-03-23,92.34,57.76,1.622,0.07,2.29
2021-03-24,92.53,61.18,1.614,0.07,2.31
2021-03-25,92.53,58.56,1.633,0.07,2.32
2021-03-26,92.77,60.97,1.674,0.07,2.34
2021-03-29,92.94,61.56,1.717,0.07,2.36
2021-03-30,93.3,60.55,1.71,0.07,2.35
2021-03-31,93.23,59.16,1.744,0.06,2.37
2021-04-01,92.93,61.45,1.673,0.07,2.35
2021-04-05,92.6,58.65,1.707,0.07,2.35
2021-04-06,92.33,59.33,1.658,0.07,2.32
2021-04-07,92.46,59.77,1.679,0.07,2.34
2021-04-08,92.06,59.6,1.626,0.07,2.33
2021-04-09,92.16,59.32,1.662,0.07,2.31
2021-04-12,92.14,59.7,1.669,0.07,2.33
2021-04-13,91.85,60.18,1.62,0.07,2.33
2021-04-14,91.69,63.15,1.634,0.07,2.33
2021-04-15,91.69,63.46,1.574,0.07,2.33
2021-04-16,91.56,63.13,1.59,0.07,2.36
2021-04-19,91.07,63.38,1.61,0.07,2.34
2021-04-20,91.24,62.44,1.566,0.07,2.32
2021-04-21,91.15,61.35,1.559,0.07,2.33
2021-04-22,91.33,61.43,1.542,0.07,2.33
2021-04-23,90.86,62.14,1.559,0.07,2.34
2021-04-26,90.81,61.91,1.568,0.07,2.36
2021-04-27,90.91,62.94,1.625,0.07,2.39
2021-04-28,90.61,63.86,1.611,0.07,2.41
2021-04-29,90.61,65.01,1.641,0.06,2.42
2021-04-30,91.28,63.58,1.626,0.05,2.41
2021-05-03,90.94,64.49,1.599,0.06,2.42
2021-05-04,91.29,65.69,1.591,0.06,2.42
2021-05-05,91.31,65.63,1.571,0.06,2.47
2021-05-06,90.95,64.71,1.57,0.06,2.45
2021-05-07,90.23,64.9,1.579,0.06,2.49
2021-05-10,90.21,64.92,1.604,0.06,2.54
2021-05-11,90.14,65.28,1.622,0.06,2.53
2021-05-12,90.71,66.08,1.693,0.06,2.54
