"o-teaser__tag","o-teaser__tag href","js-teaser-heading-link","js-teaser-heading-link href","o-labels","o-normalise-visually-hidden","js-teaser-standfirst-link","js-teaser-standfirst-link href","o-teaser__timestamp-date","o-teaser__image-container href","o-teaser__image src"
"US inflation","https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523","Pace of US inflation steadies at 13-year high in July","https://www.ft.com/content/8a2ad340-5ecf-4aa5-be35-aa7f528c8b83","","","Consumer price data show persistent effects of supply constraints and rising demand","https://www.ft.com/content/8a2ad340-5ecf-4aa5-be35-aa7f528c8b83","August 11, 2021","https://www.ft.com/content/8a2ad340-5ecf-4aa5-be35-aa7f528c8b83","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F8abd4721-12f6-4016-8fe9-0af441be3668.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Global inflation","https://www.ft.com/stream/573cc1d3-b359-4548-a69a-4aa0b3818c1b","Transatlantic inflation surge fuels economists’ fears of overheating","https://www.ft.com/content/61346c2f-de96-4ad7-91c1-028efe4706ff","","","Rising pace of price growth largely driven by recovery from pandemic and supply chain shortages","https://www.ft.com/content/61346c2f-de96-4ad7-91c1-028efe4706ff","July 15, 2021","https://www.ft.com/content/61346c2f-de96-4ad7-91c1-028efe4706ff","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F6d1ca06f-2d80-44ec-9661-3e22f94c143e.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Banx","https://www.ft.com/content/33d75325-5f88-4faf-aa85-c7b35ce3604e","UK inflation rate hits 40-year high","https://www.ft.com/content/4bbbf2f5-66a9-46f7-8746-947d6c1c0c6c","","","‘It’s just like the seventies but with much less biodiversity’","https://www.ft.com/content/4bbbf2f5-66a9-46f7-8746-947d6c1c0c6c","June 23, 2022","https://www.ft.com/content/4bbbf2f5-66a9-46f7-8746-947d6c1c0c6c","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F332ba4d2-e274-4914-a207-7d80cb8c01e5.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US inflation","https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523","Post-pandemic inflation fears are overblown","https://www.ft.com/content/2e6cc67e-0ae3-488d-834b-b84625d103b5","","","There are bigger long-term forces at work — technology, real estate and the future of work","https://www.ft.com/content/2e6cc67e-0ae3-488d-834b-b84625d103b5","July 18, 2021","https://www.ft.com/content/2e6cc67e-0ae3-488d-834b-b84625d103b5","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F42fc5fe4-326b-45e8-ba66-f2a88fe4944e.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Global inflation","https://www.ft.com/stream/573cc1d3-b359-4548-a69a-4aa0b3818c1b","Stagflation risk returns for investors as gas prices surge","https://www.ft.com/content/1e68148c-7f61-4bb4-af68-aa2c7d898111","","","The rosy market calculus of strong growth underpinned by cheap finance into perpetuity is under threat","https://www.ft.com/content/1e68148c-7f61-4bb4-af68-aa2c7d898111","October 6, 2021","https://www.ft.com/content/1e68148c-7f61-4bb4-af68-aa2c7d898111","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Ff62b1164-4817-4d8e-b496-bd53362dc144.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US inflation","https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523","Don’t panic: a little inflation is no bad thing","https://www.ft.com/content/a7c101be-7361-4307-981d-b8edf6d002be","","","Having dodged the deepest slump since the Great Depression, there are far bigger risks facing world economy","https://www.ft.com/content/a7c101be-7361-4307-981d-b8edf6d002be","July 16, 2021","https://www.ft.com/content/a7c101be-7361-4307-981d-b8edf6d002be","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F85309b30-0f4b-4b6f-9704-df69420c0d15.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US inflation","https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523","America’s recovery: is Joe Biden’s presidency vulnerable to inflation?","https://www.ft.com/content/ef204bd1-d9e1-49c0-867f-11e2ce70d1fa","","","Rising prices are giving Republicans a chance to label the administration as reckless big spenders","https://www.ft.com/content/ef204bd1-d9e1-49c0-867f-11e2ce70d1fa","August 3, 2021","https://www.ft.com/content/ef204bd1-d9e1-49c0-867f-11e2ce70d1fa","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fb5b42832-9b76-488f-8b88-debe1935b919.jpg?source=next&fit=scale-down&dpr=2&width=240"
"UK inflation","https://www.ft.com/stream/77b28b2b-7a5c-4103-a86f-9af8ba039296","UK inflation risk hinges on wage growth, warns BoE official","https://www.ft.com/content/53f4055e-493b-4487-9c44-9ab5e7de10f5","","","Global surge in goods prices is likely to slacken as supply bottlenecks ease, says Ben Broadbent","https://www.ft.com/content/53f4055e-493b-4487-9c44-9ab5e7de10f5","July 22, 2021","https://www.ft.com/content/53f4055e-493b-4487-9c44-9ab5e7de10f5","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F314cd05f-acff-40bf-97d3-72fd6b3748f0.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Markets","https://www.ft.com/stream/c91b1fad-1097-468b-be82-9a8ff717d54c","In defence of the inflation neurotics","https://www.ft.com/content/7e2b9cf7-4c48-4a68-868a-a75f39ecbaa6","Premium","content","And more on taxing buybacks","https://www.ft.com/content/7e2b9cf7-4c48-4a68-868a-a75f39ecbaa6","September 14, 2021","https://www.ft.com/content/7e2b9cf7-4c48-4a68-868a-a75f39ecbaa6","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F8157c0f3-26d4-45e9-925f-cf1133c2f2db.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Global inflation","https://www.ft.com/stream/573cc1d3-b359-4548-a69a-4aa0b3818c1b","Stagflation fears intensify in signs of slowing growth","https://www.ft.com/content/323f4d9f-016c-4510-aa55-ff2c50c8d9a8","","","Economists have played down comparisons with the 1970s oil shock","https://www.ft.com/content/323f4d9f-016c-4510-aa55-ff2c50c8d9a8","September 30, 2021","https://www.ft.com/content/323f4d9f-016c-4510-aa55-ff2c50c8d9a8","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fd0fd00f1-3922-47e3-a9f0-e16fbcfd5d51.jpg?source=next&fit=scale-down&dpr=2&width=240"
