"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/ceq59pqr9qxo","14 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/2b9e/live/74c66b10-5a0d-11ef-9599-994cc2b5f394.jpg.webp","Inflation rate rises for first time this year to 2.2%","The UK inflation rate has risen to 2.2%, but this was not as high as economists had forecast.",""
"https://www.bbc.com/news/articles/cx29z52pd54o","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/6b08/live/85186210-6d00-11ef-b772-c16844f17c08.jpg.webp","Traffic cameras bring in more than £3.8m in fines","Out of the eight fixed ANPR cameras, the one at Shirley Road bus lane has issued the most fines.",""
"https://www.bbc.com/news/articles/cx2xn1jj5deo","24 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/5afd/live/d1052e20-616a-11ef-8ef5-1f906c0a3aa9.jpg.webp","Father and daughter sentenced for £65K Covid loan fraud","The pair fraudulently claimed £65,000, with some of the money used for caravan rent, officials say.",""
"https://www.bbc.com/news/articles/cq82y55jg35o","15 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/6b6b/live/ae358920-5ad6-11ef-b95c-592c91b0fe82.jpg.webp","UK economy continues recovery with 0.6% growth","Strong growth in the services sector helped the UK to continue to emerge from last year's recession.","Business"
"https://www.bbc.com/news/articles/cwy3wy522dyo","14 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d88a/live/106130f0-5a3b-11ef-a88c-9f995a4e445d.jpg.webp","Slowest US inflation since 2021 raises rate cut hope","The inflation report was being closely watched after stock market turmoil earlier this month.","Business"
"https://www.bbc.com/news/articles/cm2n35483gmo","13 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e66f/live/ef2eb260-5952-11ef-98d6-93f17f627cba.jpg.webp","Rising grocery prices fail to dampen wine sales","Grocery price inflation has risen for the first time since March last year, analysis by Kantar suggests.","Business"
"https://www.bbc.com/news/articles/c3rdgld7wxzo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/539d/live/365070e0-70f3-11ef-b02d-c5f3b724a1ea.jpg.webp","Nurses and teachers get above inflation pay rise","The Welsh government announces above inflation pay rises for public sector workers.","Wales"
"https://www.bbc.com/sport/football/articles/c785edx68e6o","14 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/b24c/live/701ddd80-5a00-11ef-8ee9-51df7b0a78d8.jpg.webp","McGuinness still part of the Bluebirds 'family', says Bulut","Manager Erol Bulut insists Mark McGuinness remains part of the Cardiff City “family”, despite speculation linking the defender with a move away from the Championship club.","Cardiff"
"https://www.bbc.com/news/articles/c4gq8189yz1o","21 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/bf62/live/f0d19010-5efc-11ef-a071-8de684117c72.jpg.webp","Modular housing considered to ease homes pressures","The States is looking at modern construction techniques to ease pressure on building demand.","Guernsey"
"https://www.bbc.com/news/articles/c33nz5ky8v7o","16 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9522/live/4777d640-5b97-11ef-8653-bd0ab7968130.jpg.webp","Shops boosted by Euros and summer sales in July","Retail sales in Britain ticked up in July as the Euros football championship lifted demand.","Business"
